Ignore,Scene,Start,End,Caption
No,0,00:21:08.514,00:21:10.398,
No,0,00:21:10.808,00:21:13.150,
No,0,00:21:13.560,00:21:14.819,
No,0,00:21:15.229,00:21:15.987,
No,0,00:21:16.397,00:21:18.155,
No,0,00:21:18.565,00:21:20.408,
No,0,00:21:20.818,00:21:22.660,
No,0,00:21:23.070,00:21:23.786,
No,0,00:21:24.196,00:21:26.872,
No,0,00:21:27.282,00:21:28.457,
No,0,00:21:28.867,00:21:30.042,
No,0,00:21:30.452,00:21:31.294,
No,0,00:21:31.704,00:21:32.837,
No,0,00:21:33.247,00:21:34.880,
No,0,00:21:35.290,00:21:40.886,
No,0,00:21:41.296,00:21:46.767,
No,0,00:21:47.177,00:21:48.436,
No,0,00:21:48.846,00:21:50.146,
No,0,00:21:50.556,00:21:50.688,
No,0,00:21:51.098,00:21:52.106,
No,0,00:21:52.516,00:21:54.900,
No,0,00:21:55.310,00:21:56.944,
No,0,00:21:57.354,00:21:59.655,
No,0,00:22:00.065,00:22:05.202,
No,0,00:22:05.612,00:22:08.706,
No,0,00:22:09.116,00:22:17.298,
No,0,00:22:17.708,00:22:21.052,
No,0,00:22:21.462,00:22:27.808,
No,0,00:22:28.218,00:22:29.018,
No,0,00:22:29.428,00:22:30.728,
No,0,00:22:31.138,00:22:32.104,
No,0,00:22:32.514,00:22:33.397,
No,0,00:22:33.807,00:22:34.732,
No,0,00:22:35.142,00:22:36.108,
No,0,00:22:36.518,00:22:37.151,
No,0,00:22:37.561,00:22:39.612,
No,0,00:22:40.022,00:22:41.572,
No,0,00:22:41.982,00:22:43.532,
No,0,00:22:43.942,00:22:46.077,
No,0,00:22:46.487,00:22:48.162,
No,0,00:22:48.572,00:22:50.206,
No,0,00:22:50.616,00:22:52.625,
No,0,00:22:53.035,00:22:53.834,
No,0,00:22:54.244,00:22:55.503,
No,0,00:22:55.913,00:22:56.462,
No,0,00:22:56.872,00:22:58.172,
No,0,00:22:58.582,00:23:02.385,
No,0,00:23:02.795,00:23:05.971,
No,0,00:23:06.381,00:23:11.060,
No,0,00:23:11.470,00:23:13.771,
No,0,00:23:14.181,00:23:15.398,
No,0,00:23:15.808,00:23:17.566,
No,0,00:23:17.976,00:23:20.945,
No,0,00:23:21.355,00:23:22.029,
No,0,00:23:22.439,00:23:23.948,
No,0,00:23:24.358,00:23:32.164,
No,0,00:23:32.574,00:23:33.833,
No,0,00:23:34.243,00:23:37.169,
No,0,00:23:37.579,00:23:39.755,
No,0,00:23:40.165,00:23:42.842,
No,0,00:23:43.252,00:23:47.138,
No,0,00:23:47.548,00:23:54.311,
No,0,00:23:54.721,00:24:05.239,
No,0,00:24:05.649,00:24:07.032,
No,0,00:24:07.442,00:24:10.870,
No,0,00:24:11.280,00:24:12.913,
No,0,00:24:13.323,00:24:18.335,
No,0,00:24:18.745,00:24:19.086,
No,0,00:24:19.496,00:24:20.588,
No,0,00:24:20.998,00:24:22.548,
No,0,00:24:22.958,00:24:24.133,
No,0,00:24:24.543,00:24:25.050,
No,0,00:24:25.460,00:24:27.678,
No,0,00:24:28.088,00:24:30.931,
No,0,00:24:31.341,00:24:32.475,
No,0,00:24:32.885,00:24:35.060,
No,0,00:24:35.470,00:24:38.856,
No,0,00:24:39.266,00:24:43.110,
No,0,00:24:43.520,00:24:44.820,
No,0,00:24:45.230,00:24:48.741,
No,0,00:24:49.151,00:24:52.661,
