Ignore,Scene,Start,End,Shot_Caption,Scene_Caption
No,0,00:36:11.124,00:36:13.425,,
No,0,00:36:13.835,00:36:18.847,,
No,0,00:36:19.257,00:36:21.099,,
No,0,00:36:21.509,00:36:25.228,,
No,0,00:36:25.638,00:36:27.689,,
No,0,00:36:28.099,00:36:29.191,,
No,0,00:36:29.601,00:36:38.825,,
No,0,00:36:39.235,00:36:41.995,,
No,0,00:36:42.405,00:36:43.830,,
No,0,00:36:44.240,00:36:45.457,,
No,0,00:36:45.867,00:36:50.045,,
No,0,00:36:50.455,00:36:52.380,,
No,0,00:36:52.790,00:36:59.679,,
No,0,00:37:00.089,00:37:02.182,,
No,0,00:37:02.592,00:37:05.060,,
No,0,00:37:05.470,00:37:16.279,,
No,0,00:37:16.689,00:37:18.240,,
No,0,00:37:18.650,00:37:21.159,,
No,0,00:37:21.569,00:37:22.535,,
No,0,00:37:22.945,00:37:27.332,,
No,0,00:37:27.742,00:37:30.418,,
No,0,00:37:30.828,00:37:31.920,,
No,0,00:37:32.330,00:37:41.388,,
No,0,00:37:41.798,00:37:48.979,,
No,0,00:37:49.389,00:37:50.188,,
No,0,00:37:50.598,00:37:54.150,,
No,0,00:37:54.560,00:37:56.653,,
No,0,00:37:57.063,00:38:10.917,,
No,0,00:38:11.327,00:38:12.836,,
No,0,00:38:13.246,00:38:18.758,,
No,0,00:38:19.168,00:38:21.219,,
No,0,00:38:21.629,00:38:24.556,,
No,0,00:38:24.966,00:38:29.936,,
No,0,00:38:30.346,00:38:33.356,,
No,0,00:38:33.766,00:38:40.030,,
No,0,00:38:40.440,00:38:44.159,,
No,0,00:38:44.569,00:38:45.243,,
No,0,00:38:45.653,00:38:48.330,,
No,0,00:38:48.740,00:38:50.957,,
No,0,00:38:51.367,00:38:52.917,,
No,0,00:38:53.327,00:38:55.587,,
No,0,00:38:55.997,00:38:56.921,,
No,0,00:38:57.331,00:38:59.215,,
No,0,00:38:59.625,00:39:00.342,,
No,0,00:39:00.752,00:39:03.595,,
No,0,00:39:04.005,00:39:05.638,,
No,0,00:39:06.048,00:39:08.433,,
No,0,00:39:08.843,00:39:10.644,,
No,0,00:39:11.054,00:39:12.646,,
No,0,00:39:13.056,00:39:15.357,,
No,0,00:39:15.767,00:39:19.778,,
No,0,00:39:20.188,00:39:30.246,,
No,0,00:39:30.656,00:39:32.874,,
No,0,00:39:33.284,00:39:47.931,,
No,0,00:39:48.341,00:39:56.689,,
No,0,00:39:57.099,00:40:01.528,,
No,0,00:40:01.938,00:40:04.864,,
No,0,00:40:05.274,00:40:05.865,,
No,0,00:40:06.275,00:40:17.252,,
No,0,00:40:17.662,00:40:20.672,,
No,0,00:40:21.082,00:40:24.050,,
No,0,00:40:24.460,00:40:26.719,,
No,0,00:40:27.129,00:40:30.390,,
No,0,00:40:30.800,00:40:33.726,,
No,0,00:40:34.136,00:40:34.811,,
No,0,00:40:35.221,00:40:35.854,,
No,0,00:40:36.264,00:40:39.399,,
No,0,00:40:39.809,00:40:42.026,,
No,0,00:40:42.436,00:40:50.285,,
No,0,00:40:50.695,00:40:54.664,,
No,0,00:40:55.074,00:41:04.966,,
No,0,00:41:05.376,00:41:10.680,,
No,0,00:41:11.090,00:42:17.163,,
No,0,00:42:17.573,00:42:21.876,,
No,0,00:42:22.286,00:42:23.920,,
No,0,00:42:24.330,00:42:25.046,,
No,0,00:42:25.456,00:42:27.215,,
No,0,00:42:27.625,00:42:29.175,,
No,0,00:42:29.585,00:42:31.761,,
No,0,00:42:32.171,00:42:33.179,,
No,0,00:42:33.589,00:42:35.306,,
No,0,00:42:35.716,00:42:38.017,,
No,0,00:42:38.427,00:42:59.289,,
