Ignore,Scene,Start,End,Caption
No,0,01:18:06.637,01:18:06.936,
No,0,01:18:07.346,01:18:08.187,
No,0,01:18:08.597,01:18:10.272,
No,0,01:18:10.682,01:18:13.484,
No,0,01:18:13.894,01:18:17.113,
No,0,01:18:17.523,01:18:22.993,
No,0,01:18:23.403,01:18:25.621,
No,0,01:18:26.031,01:18:26.997,
No,0,01:18:27.407,01:18:31.085,
No,0,01:18:31.495,01:18:35.005,
No,0,01:18:35.415,01:18:37.049,
No,0,01:18:37.459,01:18:39.510,
No,0,01:18:39.920,01:18:44.974,
No,0,01:18:45.384,01:18:48.102,
No,0,01:18:48.512,01:18:49.645,
No,0,01:18:50.055,01:19:00.114,
No,0,01:19:00.524,01:19:06.037,
No,0,01:19:06.447,01:19:07.496,
No,0,01:19:07.906,01:19:12.042,
No,0,01:19:12.452,01:19:15.379,
No,0,01:19:15.789,01:19:18.299,
No,0,01:19:18.709,01:19:22.595,
No,0,01:19:23.005,01:19:27.308,
No,0,01:19:27.718,01:19:30.019,
No,0,01:19:30.429,01:19:32.480,
No,0,01:19:32.890,01:19:36.859,
No,0,01:19:37.269,01:19:39.320,
No,0,01:19:39.730,01:19:48.078,
No,0,01:19:48.488,01:19:50.164,
No,0,01:19:50.574,01:19:56.921,
No,0,01:19:57.331,01:20:06.305,
No,0,01:20:06.715,01:20:09.058,
No,0,01:20:09.468,01:20:23.322,
No,0,01:20:23.732,01:20:53.644,
No,0,01:20:54.054,01:20:56.522,
No,0,01:20:56.932,01:21:02.027,
No,0,01:21:02.437,01:21:04.905,
No,0,01:21:05.315,01:21:08.200,
No,0,01:21:08.610,01:21:09.451,
No,0,01:21:09.861,01:21:14.331,
No,0,01:21:14.741,01:21:18.836,
No,0,01:21:19.246,01:21:40.900,
No,0,01:21:41.310,01:21:55.623,
